1,1363,4,2,19,23,38,1,1
1,1363,4,2,19,23,67,2,1
1,1363,4,2,19,23,59,3,1
1,1363,4,2,19,23,107,4,1
1,1363,4,2,19,23,19,5,1
2,57,3,2,19,7,9,1,0
2,57,3,2,19,7,115,2,1
2,57,3,2,19,7,107,3,1
2,57,3,2,19,7,116,4,1
2,57,3,2,19,7,115,5,1
2,57,3,2,19,7,24,6,0
3,1877,7,7,16,6,108,1,1
3,1877,7,7,16,6,31,2,1
3,1877,7,7,16,6,69,3,1
3,1877,7,7,16,6,120,4,1
3,1877,7,7,16,6,120,5,1
4,1806,41,2,12,12,115,1,1
4,1806,41,2,12,12,31,2,1
4,1806,41,2,12,12,31,3,1
4,1806,41,2,12,12,26,4,1
4,1806,41,2,12,12,120,5,1
4,1806,41,2,12,12,94,6,1
5,1767,45,4,16,1,36,1,1
5,1767,45,4,16,1,107,2,1
5,1767,45,4,16,1,93,3,1
5,1767,45,4,16,1,85,4,0
5,1767,45,4,16,1,67,5,0
5,1767,45,4,16,1,125,6,1
5,1767,45,4,16,1,77,7,1
5,1767,45,4,16,1,78,8,1
6,1377,8,6,12,3,53,1,1
6,1377,8,6,12,3,84,2,1
6,1377,8,6,12,3,84,3,1
6,1377,8,6,12,3,123,4,1
6,1377,8,6,12,3,83,5,0
6,1377,8,6,12,3,21,6,1
6,1377,8,6,12,3,21,7,0
6,1377,8,6,12,3,121,8,1
6,1377,8,6,12,3,24,9,1
6,1377,8,6,12,3,83,10,1
6,1377,8,6,12,3,88,11,0
6,1377,8,6,12,3,24,12,0
7,1603,11,6,14,3,37,1,0
7,1603,11,6,14,3,67,2,0
7,1603,11,6,14,3,24,3,1
8,827,53,1,0,3,129,1,1
8,827,53,1,0,3,78,2,1
8,827,53,1,0,3,88,3,1
8,827,53,1,0,3,23,4,1
8,827,53,1,0,3,96,5,1
8,827,53,1,0,3,69,6,1
8,827,53,1,0,3,24,7,1
8,827,53,1,0,3,78,8,1
8,827,53,1,0,3,98,9,1
9,417,21,7,17,16,115,1,1
9,417,21,7,17,16,86,2,1
9,417,21,7,17,16,116,3,1
9,417,21,7,17,16,31,4,1
9,417,21,7,17,16,86,5,1
9,417,21,7,17,16,83,6,0
9,417,21,7,17,16,81,7,0
9,417,21,7,17,16,51,8,1
9,417,21,7,17,16,17,9,0
9,417,21,7,17,16,116,10,0
9,417,21,7,17,16,123,11,1
9,417,21,7,17,16,19,12,0
9,417,21,7,17,16,117,13,0
10,211,18,6,14,12,121,1,1
10,211,18,6,14,12,81,2,0
10,211,18,6,14,12,59,3,0
10,211,18,6,14,12,16,4,1
10,211,18,6,14,12,83,5,1
10,211,18,6,14,12,24,6,1
10,211,18,6,14,12,99,7,1
10,211,18,6,14,12,92,8,0
10,211,18,6,14,12,84,9,1
10,211,18,6,14,12,115,10,1
10,211,18,6,14,12,83,11,1
10,211,18,6,14,12,24,12,1
10,211,18,6,14,12,83,13,1
11,678,1,6,17,null,83,1,0
11,678,1,6,17,null,86,2,0
11,678,1,6,17,null,59,3,0
11,678,1,6,17,null,24,4,0
11,678,1,6,17,null,128,5,0
11,678,1,6,17,null,123,6,0
11,678,1,6,17,null,16,7,0
11,678,1,6,17,null,83,8,0
11,678,1,6,17,null,21,9,0
11,678,1,6,17,null,83,10,0
12,1793,2,6,10,3,26,1,0
12,1793,2,6,10,3,24,2,1
